mode;car_cost;car_time;car_ok;pass_cost;pass_time;pass_ok;bus_cost;bus_g_time;bus_w_time;bus_time;bus_ok;train_cost;train_g_time;train_w_time;train_time;train_ok;walk_time;walk_ok;bike_time;bike_ok;id
1;31.61;20.97;1;31.61;20.97;1;18.46;202.33;18.71;16.3;1;0;0;0;0;0;214.83;1;102.14;1;50
6;4.45;12.6;1;4.45;12.6;1;0;0;0;0;0;0;0;0;0;0;28.51;1;13.22;1;51
1;36.91;21.62;1;36.91;21.62;1;14.3;32.19;72.51;43.03;1;0;0;0;0;0;251.79;1;119;1;52
1;78.06;93.05;1;78.06;93.05;1;0;0;0;0;0;0;0;0;0;0;516.93;1;243.3;1;53
1;26.35;16.29;1;26.35;16.29;1;16.33;37.75;93.98;26.38;1;0;0;0;0;0;171.32;1;82.4;1;54
1;8.45;7.57;1;8.45;7.57;1;0;0;0;0;0;0;0;0;0;0;52.2;1;25.29;1;55
1;7.27;21.25;1;7.27;21.25;1;0;0;0;0;0;0;0;0;0;0;131.33;1;60.9;1;56
6;2.38;1.41;1;2.38;1.41;1;0;0;0;0;0;0;0;0;0;0;11.98;1;6.29;1;57
1;7.3;5.73;1;7.3;5.73;1;0;0;0;0;0;0;0;0;0;0;42.89;1;20.43;1;58
1;4.46;15.49;1;4.46;15.49;1;0;0;0;0;0;0;0;0;0;0;48.69;1;24.13;1;59
4;51.22;53.77;1;51.22;53.77;1;19.82;19.67;56.66;121.36;1;19.98;21.09;40.78;79.23;1;406.33;1;188.3;1;60
6;12;8.58;1;12;8.58;1;33.8;178.42;85.15;24.3;1;0;0;0;0;0;76.82;1;35.18;1;61
1;2.86;17.02;1;2.86;17.02;1;20.32;16.51;25.71;16.74;1;19.42;12.69;14.8;6.13;1;40.4;1;17.79;1;62
1;1.46;7.41;1;1.46;7.41;1;4.96;9.31;4.82;9.46;1;0;0;0;0;0;7.62;1;3.97;1;63
1;2.03;3.27;1;2.03;3.27;1;0;0;0;0;0;12.64;81.48;29.49;1.25;1;24.61;1;11.52;1;64
1;3.22;2.82;1;3.22;2.82;1;0;0;0;0;0;0;0;0;0;0;18.13;1;9.12;1;65
4;120.82;118.81;1;120.82;118.81;1;45.45;34.38;106.71;243.34;1;46.03;41.68;45.87;62.11;1;891.28;1;411.51;1;66
3;53.96;52.43;1;53.96;52.43;1;54.64;57.82;30.18;41.31;1;0;0;0;0;0;0;0;170.42;1;67
6;5.62;10.51;1;5.62;10.51;1;0;0;0;0;0;0;0;0;0;0;67.25;1;30.57;1;68
1;4.22;6.33;1;4.22;6.33;1;0;0;0;0;0;0;0;0;0;0;27.13;1;13.12;1;69
4;63.97;68.41;1;63.97;68.41;1;39.32;12.06;57.16;101.91;1;40.03;20.25;28.79;67.16;1;402.69;1;196.94;1;70
